U1,U2,U3
-7.86941451676526e-36,1.07961430461913e-34,1.37095544242237e-35
9.11752061152634e-36,1.10045705923841e-34,-1.11985509801015e-35
6.32056753602228e-08,4.95209542350494e-06,9.09933987713885e-07
1.27052803833294e-08,4.95479343953775e-06,-1.07079324607184e-06
4.1551126628292e-07,1.93064697668888e-05,1.65956703312986e-06
-1.83805113351809e-07,1.93074156413786e-05,-2.00224621949019e-06
9.04507544419175e-07,4.13563793699723e-05,2.26126576308161e-06
-4.17575137134918e-07,4.13540001318324e-05,-2.81407210422913e-06
1.45472097301536e-06,7.03037731000222e-05,2.81161669590801e-06
-6.18951332853612e-07,7.02968973200768e-05,-3.61012416760786e-06
2.04306275009003e-06,0.000105850478576031,3.31498472405656e-06
-7.68632730796526e-07,0.000105838138551917,-4.40253688793746e-06
2.65957601186528e-06,0.000147758619277738,3.77123524231138e-06
-8.5979417008275e-07,0.000147739934618585,-5.19842433277518e-06
3.29837325807603e-06,0.00019582302775234,4.18054241890786e-06
-8.88833369572239e-07,0.00019579725631047,-6.00428393227048e-06
3.95126289731706e-06,0.000249873381108046,4.54324890597491e-06
-8.49497155286372e-07,0.000249839795287699,-6.82622567182989e-06
4.60977253169403e-06,0.000309843337163329,4.87834631712758e-06
-7.34983018446655e-07,0.000309801544062793,-7.69032976677408e-06
5.31515934198978e-06,0.000376041018171236,5.21000038133934e-06
-5.90314584769658e-07,0.000375989446183667,-8.63225250213873e-06
6.07425408816198e-06,0.000448435108410195,5.46251067135017e-06
-4.23666705273718e-07,0.000448373204562813,-9.58344026003033e-06
6.87688179823454e-06,0.000526660995092243,5.63267121833633e-06
-2.24559840944494e-07,0.000526588293723762,-1.05424305729684e-05
7.7190661613713e-06,0.000610379094723612,5.72648923480301e-06
1.15625757857174e-08,0.000610295333899558,-1.15163611553726e-05
8.59952888276894e-06,0.000699284195434302,5.74406794839888e-06
2.86865031284833e-07,0.000699189084116369,-1.25060123536969e-05
9.5180184871424e-06,0.000793090963270515,5.68897257835488e-06
6.02671320848458e-07,0.000792984443251044,-1.35149912239285e-05
1.04746441138559e-05,0.000891532050445676,5.56134409634979e-06
9.60183797360514e-07,0.000891414005309343,-1.45429630720173e-05
1.14697086246451e-05,0.000994359143078327,5.36552033736371e-06
1.36049698085117e-06,0.000994229456409812,-1.55933757923776e-05
1.250350214832e-05,0.00110134156420827,5.10177233081777e-06
1.80482777523139e-06,0.00110120023600757,-1.6665300790919e-05
1.35763229991426e-05,0.0012122691841796,4.77532421427895e-06
2.29430406761821e-06,0.00121211621444672,-1.776256976882e-05
1.46883176057599e-05,0.00132695317734033,4.3863756218343e-06
2.83017220681359e-06,0.00132678844965994,-1.88839185284451e-05
1.58395123435184e-05,0.00144522672053427,3.94097151001915e-06
3.41350687449449e-06,0.0014450503513217,-2.00339509319747e-05
1.70296498254174e-05,0.00156694778706878,3.43900046573253e-06
4.04544698540121e-06,0.00156675965990871,-2.12112736335257e-05
1.82582152774557e-05,0.00169200042728335,2.8872748316644e-06
4.72684632768505e-06,0.00169180042576045,-2.24216728383908e-05
1.95242428162601e-05,0.00182029604911804,2.2851136236568e-06
5.4585493671766e-06,0.001820084056817,-2.36638297792524e-05
2.08263536478626e-05,0.00195177795831114,1.6400697404606e-06
6.24097856416483e-06,0.00195155385881662,-2.49451768468134e-05
2.21625086851418e-05,0.00208642100915313,9.50609546634951e-07
7.07445906300563e-06,0.00208618468604982,-2.62646972259972e-05
2.35300649364945e-05,0.00222423789091408,2.25013536692131e-07
7.95872347225668e-06,0.00222398876212537,-2.76320006378228e-05
2.49254662776366e-05,0.00236527784727514,-5.39419318101864e-07
8.8933002189151e-06,0.00236501591280103,-2.90466650767485e-05
2.63443453150103e-05,0.00250963633880019,-1.33363073473447e-06
9.87686780717922e-06,0.00250936090014875,-3.05212015518919e-05
2.77814215223771e-05,0.00265745585784316,-2.16170246858383e-06
1.09075026557548e-05,0.00265716621652246,-3.20564286084846e-05
2.92296335828723e-05,0.00280893431045115,-3.01342493003176e-06
1.19826581794769e-05,0.00280862976796925,-3.36689845426008e-05
3.06811634800397e-05,0.00296433991752565,-3.89335946238134e-06
1.30967619043076e-05,0.00296401907689869,-3.5362972994335e-05
3.212137016817e-05,0.00312395952641964,-4.80400740343612e-06
1.4248789739213e-05,0.00312362192198634,-3.71481801266782e-05
3.35415861627553e-05,0.00328814005479217,-5.74087835047976e-06
1.54321642185096e-05,0.00328778475522995,-3.90460809285287e-05
3.49732326867525e-05,0.00345739792101085,-6.7164755819249e-06
1.65996607393026e-05,0.00345702236518264,-4.10670982091688e-05
3.64237967005465e-05,0.0036316136829555,-7.83020186645444e-06
1.77410147443879e-05,0.00363121926784515,-4.31133339588996e-05
3.7880519812461e-05,0.00381026021204889,-9.06390960153658e-06
1.88723897736054e-05,0.00380984740331769,-4.51890482509043e-05
3.93376976717263e-05,0.00399292260408401,-1.04052924143616e-05
2.00014383153757e-05,0.00399249279871583,-4.7295030526584e-05
4.07942934543826e-05,0.00417922344058752,-1.18471589303226e-05
2.11305887205526e-05,0.00417877733707428,-4.94277010147925e-05
4.22503435402177e-05,0.00436879973858595,-1.33827852550894e-05
2.22612234210828e-05,0.00436833826825023,-5.15827669005375e-05
4.37060552940238e-05,0.00456129899248481,-1.50053410834516e-05
2.33946047956124e-05,0.00456082355231047,-5.37557971256319e-05
4.51617961516604e-05,0.00475638313218951,-1.67079069797182e-05
2.45319242822006e-05,0.00475589465349913,-5.59423424419947e-05
4.66179772047326e-05,0.00495372666046023,-1.84835134859895e-05
2.56743915088009e-05,0.00495322607457638,-5.81379754294176e-05
4.80749804410152e-05,0.00515301432460546,-2.03251584025566e-05
2.68232433882076e-05,0.00515250349417329,-6.03383705310989e-05
4.95331660204101e-05,0.00535394763574004,-2.22258695430355e-05
2.79797804978443e-05,0.00535342749208212,-6.25393731752411e-05
5.09928286192007e-05,0.00555624207481742,-2.41787474806188e-05
2.91453579848167e-05,0.00555571354925632,-6.47370907245204e-05
5.24541464983486e-05,0.00575962662696838,-2.61769746430218e-05
3.03213728329865e-05,0.00575909111648798,-6.69279033900239e-05
5.39171960554086e-05,0.00596384890377522,-2.82138880720595e-05
3.15092802338768e-05,0.00596330687403679,-6.91085733706132e-05
5.5381897254847e-05,0.00616867421194911,-3.02830103464657e-05
3.27105808537453e-05,0.00616812705993652,-7.12763066985644e-05
5.68479517824017e-05,0.00637388462200761,-3.23780477629043e-05
