U1,U2,U3
-1.3885431450533e-38,5.0021758917433e-39,7.1519113904099e-35
-1.37235352350542e-38,1.28033403685906e-38,-7.13869396662536e-35
-1.26286818158405e-06,-0.660746693611145,0.203307345509529
5.7049101087614e-07,-0.660746574401855,-0.203306019306183
-2.24091763811884e-06,-2.64292454719543,0.406595379114151
1.50979053614719e-06,-2.64292454719543,-0.406593054533005
-3.10443192574894e-06,-5.94634771347046,0.609845399856567
2.28224371312535e-06,-5.94634771347046,-0.60984194278717
-3.90263858207618e-06,-10.5707311630249,0.813045918941498
3.16267187372432e-06,-10.5707311630249,-0.813041269779205
-4.67866402686923e-06,-16.515697479248,1.01617980003357
3.89208071283065e-06,-16.515697479248,-1.01617407798767
-5.38840549779707e-06,-23.7807731628418,1.21923410892487
4.68327743874397e-06,-23.7807731628418,-1.21922707557678
-6.10969209446921e-06,-32.3653831481934,1.42219245433807
5.35622120878543e-06,-32.3653831481934,-1.42218434810638
-6.75846104059019e-06,-42.2688636779785,1.62504100799561
6.07410720476764e-06,-42.2688636779785,-1.62503159046173
-7.42921884011594e-06,-53.4904479980469,1.82776367664337
6.70598910801345e-06,-53.4904479980469,-1.82775318622589
-8.0320387496613e-06,-66.0292663574219,2.03034567832947
7.36799529477139e-06,-66.0292663574219,-2.03033399581909
-8.6611207734677e-06,-79.8843612670898,2.23277115821838
7.96844869910274e-06,-79.8843612670898,-2.23275828361511
-9.22957769944333e-06,-95.0546493530273,2.43502473831177
8.58815565152327e-06,-95.0546493530273,-2.4350106716156
-9.82635810942156e-06,-111.53897857666,2.63708996772766
9.16480803425657e-06,-111.53897857666,-2.6370747089386
-1.03696747828508e-05,-129.336059570313,2.83895111083984
9.75305647443747e-06,-129.336059570313,-2.83893465995789
-1.09426200651797e-05,-148.444519042969,3.0405912399292
1.0312925951439e-05,-148.444519042969,-3.04057359695435
-1.1468358025013e-05,-168.862854003906,3.24199390411377
1.08786216515e-05,-168.862854003906,-3.24197483062744
-1.20247814265895e-05,-190.589492797852,3.44314169883728
1.14279109766358e-05,-190.589492797852,-3.44312143325806
-1.25391306937672e-05,-213.622680664063,3.64401721954346
1.19783526315587e-05,-213.622680664063,-3.64399600028992
-1.30854778035427e-05,-237.960632324219,3.84460282325745
1.25226124509936e-05,-237.960632324219,-3.84458041191101
-1.35936752485577e-05,-263.601379394531,4.04488039016724
1.30639618873829e-05,-263.601379394531,-4.04485654830933
-1.41354475999833e-05,-290.542846679688,4.24483108520508
1.36079734147643e-05,-290.542846679688,-4.24480581283569
-1.46417596624815e-05,-318.782897949219,4.44443607330322
1.41452637762995e-05,-318.782897949219,-4.44440937042236
-1.51836966324481e-05,-348.319152832031,4.64367532730103
1.46931988638244e-05,-348.319152832031,-4.64364767074585
-1.5691461157985e-05,-379.149230957031,4.842529296875
1.52303937284159e-05,-379.149230957031,-4.84250068664551
-1.62376836669864e-05,-411.270538330078,5.04097747802734
1.57859085447853e-05,-411.270538330078,-5.04094743728638
-1.67496673384449e-05,-444.680358886719,5.2389988899231
1.63263393915258e-05,-444.680358886719,-5.23896741867065
-1.73031912709121e-05,-479.375885009766,5.43657159805298
1.68921123986365e-05,-479.375885009766,-5.43653917312622
-1.78213340404909e-05,-515.354064941406,5.63367366790771
1.74381766555598e-05,-515.354064941406,-5.63363981246948
-1.83847296284512e-05,-552.61181640625,5.83028173446655
1.80165043275338e-05,-552.61181640625,-5.830246925354
-1.89101228897925e-05,-591.145812988281,6.0263729095459
1.85696699190885e-05,-591.145812988281,-6.02633666992188
-1.9485112716211e-05,-630.95263671875,6.22192287445068
1.91620547411731e-05,-630.95263671875,-6.22188520431519
-2.00184822460869e-05,-672.028747558594,6.41690635681152
1.97233785002027e-05,-672.028747558594,-6.41686773300171
-2.06067979888758e-05,-714.370300292969,6.61129808425903
2.03314502869034e-05,-714.370300292969,-6.61125802993774
-2.11473543458851e-05,-757.973327636719,6.80507135391235
2.09004629141418e-05,-757.973327636719,-6.80503034591675
-2.17487759073265e-05,-802.833862304688,6.99819898605347
2.15238706005039e-05,-802.833862304688,-6.99815654754639
-2.22955604840536e-05,-848.947448730469,7.19065284729004
2.20998699660413e-05,-848.947448730469,-7.19060897827148
-2.29099896387197e-05,-896.309753417969,7.38240337371826
2.27384862228064e-05,-896.309753417969,-7.38235855102539
-2.34605049627135e-05,-944.916015625,7.57342147827148
2.33192004088778e-05,-944.916015625,-7.57337474822998
-2.40864737861557e-05,-994.761474609375,7.76367521286011
2.39715427596821e-05,-994.761474609375,-7.76362752914429
-2.46372474066447e-05,-1045.84094238281,7.95313358306885
2.45537266891915e-05,-1045.84094238281,-7.95308446884155
-2.52728968916927e-05,-1098.14916992188,8.14176273345947
2.52179397648433e-05,-1098.14916992188,-8.1417121887207
-2.58194741036277e-05,-1151.6806640625,8.32952880859375
2.57973624684382e-05,-1151.6806640625,-8.32947731018066
-2.64610425801948e-05,-1206.42980957031,8.51639652252197
2.64697555394378e-05,-1206.42980957031,-8.51634311676025
-2.69973352260422e-05,-1262.39050292969,8.70232963562012
2.70404980255989e-05,-1262.39050292969,-8.70227527618408
-2.7640917323879e-05,-1319.55651855469,8.88728904724121
2.77172166534001e-05,-1319.55651855469,-8.88723373413086
-2.81590764643624e-05,-1377.92163085938,9.07123756408691
2.82716464425903e-05,-1377.92163085938,-9.07118034362793
-2.87984621536452e-05,-1437.47888183594,9.25413417816162
2.89465788227972e-05,-1437.47888183594,-9.254075050354
-2.92887507384876e-05,-1498.22143554688,9.43593597412109
2.94751389446901e-05,-1498.22143554688,-9.43587589263916
-2.99162966257427e-05,-1560.14196777344,9.61660099029541
3.01407599181402e-05,-1560.14196777344,-9.61653995513916
-3.03667511616368e-05,-1623.23303222656,9.7960844039917
3.06316651403904e-05,-1623.23303222656,-9.79602146148682
-3.09738315991126e-05,-1687.48669433594,9.97433853149414
3.12795054924209e-05,-1687.48669433594,-9.97427463531494
-3.13698037643917e-05,-1752.89477539063,10.1513166427612
3.17183075821958e-05,-1752.89477539063,-10.1512517929077
-3.19444116030354e-05,-1819.44897460938,10.3269691467285
3.23365093208849e-05,-1819.44897460938,-10.3269023895264
-3.22679516102653e-05,-1887.14050292969,10.5012435913086
3.27054731315002e-05,-1887.14050292969,-10.5011749267578
-3.27958732668776e-05,-1955.96008300781,10.6740865707397
3.3280004572589e-05,-1955.96008300781,-10.6740169525146
-3.30255134031177e-05,-2025.89831542969,10.8454437255859
3.35578261001501e-05,-2025.89831542969,-10.8453731536865
-3.34905562340282e-05,-2096.9453125,11.0152578353882
3.40726983267814e-05,-2096.9453125,-11.0151853561401
-3.3600561437197e-05,-2169.09106445313,11.1834697723389
3.42339226335753e-05,-2169.09106445313,-11.1833953857422
-3.39818434440531e-05,-2242.32470703125,11.3500165939331
3.46684610121883e-05,-2242.32470703125,-11.3499412536621
-3.39415491907857e-05,-2316.63525390625,11.5148363113403
